Class Index,Title,Description
2,UPDATE 1-Beckham and Owen target England records,England captain David Beckham has denied reports that he plans to retire from international soccer after the 2006 World Cup and says his aim is to beat the appearance 
4,Save the Hubble,"The Issue: Space telescope was condemned to a lingering death. Our View: New report gives support to a manned rescue mission. The Hubble telescope may well be the most successful observatory ever built, producing "
2,Pantano replaced by Glock,"Jordan have terminated the contract of Italian driver Giorgio Pantano and called in Timo Glock as a replacement. The team said contractual difficulties were behind the split, and confirmed German Glock would race in Sunday #39;s inaugural Chinese Grand Prix."
3,Camden tops dangerous cities list,"Camden has become the nation #39;s most-dangerous city, a national ranking company based in Kansas announced Sunday. Camden, which was ranked third worst last year, took the dubious honor from "
1,White House: Guard Never Disciplined Bush,"WASHINGTON - President Bush never was disciplined while serving in the Texas Air National Guard, never failed a physical and never asked his father or family friends for help to get him into the Guard during the Vietnam War, the White House said Wednesday.    Meanwhile, the White House on Wednesday night produced a previously unreleased document from Bush's personnel file on his military service, seven months after it said all materials on the subject had been given to the public..."
2,Demands of Tyneside showing on Souness,"IN THE face of mounting unrest, Graeme Souness remains determined to reverse the declining fortunes of Newcastle United, but he, like his predecessors, has quickly appreciated that management "
4,Free E-Mail Inboxes Get Fatter,"Scores of Hotmail users received a pleasant surprise in their inboxes this week: more free storage. The move comes as Google inches closer to making its Gmail service, which includes a gigabyte of storage, available to the general public. By Joanna Glasner."
3,Dollar Continues Slide Vs Euro (Reuters),Reuters - The dollar slid back toward last week's\record low against the euro on Monday after a weekend meeting\of world finance chiefs ended with no agreement to stem the\greenback's decline.
2,AL Wrap: Matsui's Late Single Leads Yankees Past Indians, NEW YORK (Reuters) - Hideki Matsui drove in the winning run  with a ninth-inning single to earn the rallying New York  Yankees a 5-4 victory over the host Cleveland Indians in the  American League Tuesday.
4,Apple peels wraps off fastest ever iBook G4,"Apple has unveiled what it claims is its fastest ever iBook G4 laptop, a \$1,499 1.33GHz PowerPC G4 processor-based device sporting a 14in screen and a DVD burner drive."
2,Packers trade McKenzie to Saints,Mike McKenzie got his wish today when the Green Bay Packers traded the disgruntled cornerback and a future conditional draft pick to the New Orleans Saints for quarterback JT O #39;Sullivan and a second-round pick in next year #39;s draft.
2,Sportsview: Clemens at Fenway Not to Be (AP),"AP - All of New England would have been quaking with anticipation. Just imagine: Roger Clemens back at Fenway, wearing the enemy's colors for a fourth time in the postseason, this time in Game 7 of the World Series."
2,Melvin Finds Role,"A basketball refugee when the ROckers folded, Chasity Melvin has since helped stabilize the Mystics without Chamique Holdsclaw."
1,US troops aiding Darfur deployment,KIGALI -- Three US Air Force cargo planes and 120 US troops landed in Rwanda yesterday to transport Rwandan soldiers and equipment to Darfur as part of an expanded African Union peacekeeping mission in the violent region. Several dozen soldiers unloaded boxes full of rifles and handguns on the tarmac of Kigali airport on the outskirts of the capital. (Reuters)
4,A Computer In Every Classroom,Schools are spending a fortune on technology in the hopes of gaining relevance with Generation I.  Bad news--they've already lost.
3,Howard Stern moving to satellite,"NEW YORK In a deal estimated to be worth \$100 million a year for five years, Howard Stern, one of the most popular personalities in American radio, said Wednesday he had signed a contract with Sirius Satellite Radio and would leave his longtime job at "
3,Toyota takes Prius hybrid to China,Toyota Motor Corp. will start building its Prius hybrid sedans in China next year with FAW Group in a step it hopes will promote the vehicles as the global standard for fuel-efficient cars.
2,Packers dominate both sides of the line,"Entering the inaugural Monday night outing of 2004, conventional wisdom was that the Green Bay Packers would need a supreme effort to come here and defeat the defending "
4,German Teen Charged with Creating Sasser,"nomoreself writes  quot;Sven Jaschan, only 18 years old, has been indicted by prosecutors in Verden, Germany for allegedly releasing the well known Sasser worm."
2,Mickelson Back on Course After Benching (AP),"AP - Phil Mickelson spent a sleepless night, not that it really mattered since he had plenty of time to rest up Saturday at the Ryder Cup. The best player in the majors this year, a chastised Mickelson sat out the morning four-ball matches mostly because U.S. captain Hal Sutton dared not risk giving away any more points."
4,Call for More Action to Cut Global Warming,The Governments chief scientist was today drawing attention to the problem of global warming. Professor Sir David King will address the issue in the Greenpeace business lecture tonight.
3,Fireman's Fund says it will keep insuring autos in Mass.,"Fireman's Fund Insurance Co., apparently swayed by recent meetings with a Massachusetts regulator, reversed course yesterday and said it now plans to continue writing auto insurance policies in the state next year."
3,"Intel Doubles Dividend, Expands Buyback (Reuters)","Reuters - Intel Corp. , the world's\largest maker of computer chips, said on Wednesday it would\double its quarterly dividend to 8 cents a share, the second\time this year it has doubled its cash payout."
1,Israel Pulls Back Forces in Northern Gaza," JABALYA, Gaza Strip (Reuters) - Israel pulled most of its  forces out of the northern Gaza Strip Saturday after a four-day  incursion it said was staged to halt Palestinian rocket attacks  on southern Israeli towns."
4,Sub blaze survivors relive terror,Survivors of a fatal fire on a submarine have spoken of their experience as Canada #39;s defence minister said he could not rule out suing the British Government.
2,Boston Expects Millions at Red Sox Parade (AP),"AP - Because so many members of Red Sox Nation are expected in Boston to celebrate the team's World Series triumph, the victory parade Saturday won't be making any stops and won't culminate with a staged rally, either."
2,Viloria knocks out Priolo in flyweight bout,"Former Olympic boxer Brian Viloria of Wiapahu, Hawaii, knocked out Angel Priolo of Colombia in the seventh round of a scheduled 12-round flyweight bout Thursday night at the Grand Olympic Auditorium."
1,"Ukraine PM on Verge of Victory, Rival Cries Foul", KIEV (Reuters) - Ukraine's prime minister was on the verge  of victory in a presidential election on Monday but his liberal  rival accused the authorities of mass fraud and told thousands  of supporters to stay on the streets in protest.
1,Oil scandal rocks Polish leadership,"WARSAW -- The new scandal mesmerizing Poland seems lifted from a Cold War dossier: Spies, oil traders, a polo player, and a billionaire are tangled in a rumored plot by Moscow to manipulate its smaller neighbor."
4,Intel switches off TV chip,"IN ANOTHER change of plan, semiconductor giant Intel has cancelled a project to develop a chip for projection TVs, saying it plans to focus its resources in other areas."
3,Advocate Or Promoter? (Forbes.com),"Forbes.com - As the second employee of InfoSpace, Jean-Remy Facq saw the value of his stock inflate and then collapse. Now he's suing in federal court in Seattle for a  #36;4.5 million refund of 1999 federal income tax. He's just one of 200 tech workers who have hired Seattle tax lawyer/CPA Brian G. Isaacson in the hope his novel theories will help them slash old (and sometimes unpaid) tax bills from their exercise of stock options for shares that later tanked."
2,Bowden Bowl not fun for the Bowdens,"When Clemson finally beat Florida State in an Atlantic Coast Conference game last season, Tommy Bowden #39;s celebration was noticeably subdued."
2,Manning Fares Well in Mop-Up Role,"The top overall draft choice #39;s real introduction to the league came not in training camp or preseason, or even when he handed the ball to Tiki Barber on Sunday and watched the tailback sprint "
1,Some GOP Gay Rights Backers Torn Over Bush (AP),"AP - On the eve of the Republican convention, some GOP gay rights supporters frustrated by their party platform's hardline stance against same-sex unions say they are torn over whether to back President Bush in this fall's election."
1,Head of MI5 warns business to guard against terrorism,"The head of Britain #39;s security services has called on business to play a greater role in combating the threat of terrorism. Eliza Manningham-Buller, the "
4,Arrest made in Cisco source code theft,"The arrest marks a major breakthrough in the case, which involves the posting of more than 800MB of source code from Cisco's Internetwork Operating System (IOS) to a Russian Web site in May."
4,PalmSource to build Palm OS on Linux,"PalmSource is to create a new version of the Palm OS with Linux at its core, the company said today after announcing a plan to buy Chinese phone software company China MobileSoft (CMS #39;)."
1,Observers warn militant groups may exploit bitterness in &lt;b&gt;...&lt;/b&gt;,"NARATHIWAT, Thailand : The deaths and beatings that followed last month #39;s demonstration in southern Thailand have left an indelible mark on the psyche of the Muslims living "
1,More talks scheduled as Italy presses Libya on immigration crisis (AFP),"AFP - Italian Prime Minister Silvio Berlusconi is aiming to make cooperation with Libya a model for Europe's efforts to stem a tide of illegal immigration from Africa, but further talks are still needed between Tripoli, Rome and the EU to resolve the crisis."
2,Sorenstam charges to overtake Park at Samsung World Championship,"Three shots behind Grace Park with five holes to go, six-time LPGA player of the year Sorenstam rallied with an eagle, birdie and three pars to win her fourth Samsung World Championship by three shots over Park on Sunday."
3, #39;Shrek 3 #39; Hibernating Until  #39;07,DreamWorks Animation Studios said Wednesday it would postpone the release of  quot;Shrek 3 quot; to May 2007 from November 2006. The announcement came a day after 
4,Free Music for Your iPod,You #39;re probably already familiar with one of the most common questions we hear at iPodlounge:  quot;how can I load my iPod up with free music?
2,Coach Sam raises bar,"Head coach Sam Mitchell has set some substantial goals for Carter, the club #39;s best swingman, and Bosh, the club #39;s best big man."
1,Aid workers evacuated as violence flares in Darfur; at least 17 &lt;b&gt;...&lt;/b&gt;,"Fighting near a village in Sudan #39;s crisis-plagued Darfur region killed at least 17 people Monday, while helicopters rescued dozens of workers who fled into the bush to escape."
1,Iran Insists on Keeping Some Centrifuges (AP),AP - Iran insisted Thursday it had a right to exempt some equipment from an agreement with the European Union committing it to freeze all parts of a program that can make nuclear weapons-grade uranium  #151; a move that diplomats said threatened to scuttle the deal.
4,Hackers use Beckham bait,"SOFTWARE HACKERS are using snaps which they claim show David Beckham in a compromising position to infect people #39;s computers. Beckham, who apparently plays football, and is married to a member of a popular "
2,A three-for-one swap,"ANAHEIM, Calif. Carlos Lee has been traded from the Chicago White Sox to the Milwaukee Brewers for outfielder Scott Podsednik (pahd-SEHD #39;-nihk), reliever Luis Vizcaino (loo-EES #39; vihs-ky-AY #39;-noh) and a player to be named."
2,Fichardt and Broadhurst Lead Madrid Open (AP),"AP - Darren Fichardt had four birdies in a five-hole stretch on the way to a 4-under 67 Saturday, grabbing a share of the lead with Paul Broadhurst after the third round of the Madrid Open."
2,Tendulkar set to play third test vs. Aussies,"India #39;s star batsman Sachin Tendulkar was Saturday declared fit for next week #39;s third cricket test against Australia after recovering from an elbow injury, news reports said."
1,Convoy of Karzai's Running Mate Is Attacked,"A convoy carrying Afghan President Hamid Karzai's vice presidential running-mate came under attack Wednesday in northeastern Afghanistan, the presidential palace and other officials said, the third attack on Karzai's supporters ahead of landmark weekend elections."
3,India #39;s software exports booming,This fourth priority #39;s main focus has been improving or obtaining CRM and ERP software for the past year and a half. India #39;s software exports are on track to grow by 30 percent in the 2004-2005 fiscal year 
4,Russians to see full lunar eclipse Thursday morning,"MOSCOW, October 28 (Itar-Tass) - People in Russia #39;s European part will have an opportunity to see a full eclipse of the Moon during several hours Thursday morning, said Dr Andrei Finkelshtein, director of the Russian Institute of Applied Astronomy."
2,Cavaliers sign Lucious Harris,"Lucious Harris signed Friday with the Cleveland Cavaliers, who hope the New Jersey Nets veteran can strengthen a backcourt weakened by injuries during the playoffs last season."
1,Powell: N. Korea Blast Not Nuclear Event,"The United States does not believe that a large explosion in North Korea was related to the communist country #39;s suspected nuclear weapons program, President Bush #39;s foreign policy advisers said Sunday."
2,McNair Our of Hospital,Tennessee quarterback Steve McNair is released from the hospital Tuesday morning after a two-night stay with a bruised sternum.
2,Droschak: Tar Heels Steamroll to Victory,"The stat line in the first half was about as remarkable as it gets. But then again, North Carolina is getting used to big leads at the break."
3,"Stocks to Open Higher, Oil Still Focus","US stocks are expected to open modestly higher Wednesday, as oil prices remain center stage but thin summer volumes are likely to continue."
4,Apache Rejects Microsoft #39;s Sender ID Standard,"The Apache Software Foundation (ASF), creator of the open-source Apache Web server, noted that it will not support the proposed antispam standard, called Sender ID, because Microsoft #39;s "
2,Ortiz Powers Red Sox Past Blue Jays 11-5 (AP),"AP - David Ortiz homered twice and drove in four runs, and Curt Schilling earned his 16th win in the Boston Red Sox's 11-5 victory over the Toronto Blue Jays on Wednesday night."
2,USA beats Australia,"For three quarters the US Men #39;s Olympic Team (2-1) chased Australia (1-2) and still heading into the final 10 minutes the Americans trailed 67-65. Stepping up its defense, the US reeled off 10 consecutive points to take control of the game and went on to ..."
4,Photo: Hewlett-Packard's Integrity rx4640 server,"Hewlett-Packard's Integrity rx4640 server is available with Intel's new Itanium 2 processor, which has 9MB of high-speed cache memory."
3,"Ellison: Oracle Makes  #39;Final #39; PeopleSoft Bid, But CEO Can #39;t Buy &lt;b&gt;...&lt;/b&gt;",Oracle (nasdaq: ORCL - news - people ) presented its  quot;best and final offer quot; for takeover prey PeopleSoft (nasdaq: PSFT - news - people ) Monday.
1,Najaf Battle.. Sistani Wins Big,"The dramatic return from abroad, call on his followers to head for Najaf and the swift ending to a three-week long fierce battle "
4,Open-source IP Telephony slashes costs,&lt;strong&gt;LinuxWorld:&lt;/strong&gt; Linux guru predicts 'next big thing'
2,Cardinals swing into playoff mode,"ST. LOUIS - When the St. Louis Cardinals were playing .500 ball for the last two weeks of the regular season after already having clinched the National League Central championship, one question persisted."
1,Russia mourns as questions mount for Putin,BESLAN: Flags are flying at half-mast across Russia today as the nation begins mourning for 338 people killed when Chechen rebels seized a school.
2,Former Kan. Junior College Coach Indicted (AP),AP - A former junior college basketball coach was indicted on charges that he provided false academic information about his athletes to Division I schools looking to recruit the players.
2,Birgit Fischer wins second medal in kayak,"Birgit Fischer settled for silver, leaving the 42-year-old Olympian with two medals in two days against decidedly younger competition."
2,Giants to Keep Bonds for at Least Two More Seasons, SAN FRANCISCO (Reuters) - Barry Bonds will chase the  all-time home run record as a San Francisco Giants player after  the team dropped its option to void the final year of the  slugger's contract in 2006.
2,Angels Trade Jose Guillen to Expos (AP),"AP - After a temper tantrum that led to an eight-game suspension and a course in anger management, Jose Guillen needed a change of scenery. He'll find it in the nation's capital. The Anahiem Angels traded Guillen to the Washington-bound Expos  #151; the soon-to-be Nationals  #151; on Friday for outfielder Juan Rivera and prospect Maicer Izturis."
3,Sluggish economy hits German jobs,Unemployment in Germany rises for the tenth straight month as growth remains sluggish despite a revival in domestic demand.
1,Group claims the deaths of Italian hostages in Iraq,"DUBAIAn Islamist group claimed yesterday to have killed two Italian women taken hostage in Iraq, as a separate militant group released a video apparently showing the beheading of a captive American man."
2,Mauresmo Joins Zvonareva in Linz Quarterfinals," VIENNA (Reuters) - World number two Amelie Mauresmo  shrugged off a thigh strain to cruise into the last eight of  the Linz Open with a 6-4, 6-0 win over Marta Domachowska  Thursday."
4,Microsoft #39;s  #39;patch #39; of worry,NEW YORK (CNN/Money) - Some colleges are fretting the release of Microsoft #39;s upgrade to its XP operating system -- whose release coincides with the opening of campuses around the country -- saying that multiple downloads of the patch could significantly 
2,Gallacher savours maiden victory,"STEPHEN Gallacher won a European Tour event at the 188th attempt yesterday. The talented Scot, who turned professional nine years past, birdied the first extra hole of a sudden death play-off at the Old Course "
3,Tokyo Stocks Weaker as Yen Weighs," TOKYO (Reuters) - Japan's Nikkei share average slipped 0.58  percent on Monday morning after a weak U.S. jobs report kept  the dollar near a five-year low against the yen, hurting the  shares of Japanese exporters."
4,Show Time for Stem-Cell Science,It's time to get down to business for stem-cell scientists and administrators after the tremendous boost they received from the passage of California's Proposition 71. Two advisory board appointments have been made; there are 25 to go. By Kristen Philipkoski.
2,Dalmiya gets Pawar run out on last ball,"KOLKATA: Weeks of suspense, a final day packed with drama, and in the best potboiler tradition, it all boiled down to the last few moments."
3,Dollar Under Pressure Ahead of Jobs Data, LONDON (Reuters) - The dollar slid across the board on  Friday as cautious comments from Federal Reserve officials  raised doubts over the health of the U.S. economy before key  U.S. jobs data.
3,Aon CEO Ryan retiring,"CHICAGO Insurance giant Aon Corporation is looking for a new chief executive officer to succeed Patrick Ryan, who is retiring. The 67-year-old Ryan intends to stay on as CEO until his successor is named and "
2,Coaches on Firing Line,The NFL coaches whose job security is under the most intense scrutiny these days are the Cleveland Browns' Butch Davis and the New Orleans Saints' Jim Haslett.
2,Bayern gets redemption,"Bremen, Germany (Sports Network) - Bayern Munich exacted some revenge Saturday afternoon with a 2-1 win over defending Bundesliga champions Werder Bremen."
4,Windows vs Linux : Web Hosting,Windows vs Linux : Web Hosting\\The Basics of Linux  #038; Windows : Linux (and its close relation Unix) and Windows 2000 (and its close cousin Windows NT) are types of software (known as operating systems) that web servers use to do the kind of things that web servers do. You ...
3,"Stamp Co. Bars Images of Adults, Teens","You can still get your baby, your dog, even your prized  #39;65 Mustang on a sheet of postage stamps and immortalize them in letters to your friends."
1,Uruguay poised to elect leftwinger,Tabare Vazquez was poised to become Uruguay #39;s first leftwing president yesterday after campaigning for the more equitable distribution of wealth and social justice in a country crippled by a recent economic crisis.
3,"Optus, Vodafone in 3G link","TELCOS Optus and Vodafone Australia will combine to create a national 3G mobile network, just three weeks after rival Telstra Corp entered a similar deal."
3,"Temasek May Buy Stakes in Minsheng Bank, Medco to Expand Abroad","Temasek Holdings Pte, a \$53 billion Singapore government fund, may buy stakes in China #39;s first private bank and Indonesia #39;s biggest listed oil company as it steps up investments abroad."
3,"Sonic, Asbury Cut Estimates, Stocks Fall (Reuters)","Reuters - Shares of Sonic Automotive Inc. \and Asbury Automotive Group Inc.  fell sharply on\Tuesday after both car dealership companies cut their full-year\earnings estimates, citing the recent hurricanes and a\difficult new and used vehicle market."
4,Academics find that the finger of destiny points their way,"Male scientist are good at research because they have the hormone levels of women and long index fingers, a new study says. A survey of academics at the University of Bath has found that male scientists typically "
2,France: Lyon use bizarre goal to earn victory at Toulouse,"TOULOUSE, Sep 21 (SW) - A strange goal early in the second half propelled three-time defending French champions Lyon to a 2-0 win away at Toulouse in Ligue 1 action on Tuesday."
1,Football: England start campaign,England boss Sven-Goran Eriksson says a decent start to the World Cup qualifying campaign is vital.
2,Kobe Bryant Jury Selection Begins Today,"About 500 prospective jurors will be in an Eagle, Colorado, courtroom Friday, answering an 82-item questionnaire in preparation for the Kobe Bryant sexual assault trial."
